Timestamp (ns);Aggregated CPU Load (%);GPU Busy (%);
3804920962172.000000;15.864832;14.273854;
3804982998652.000000;18.995397;14.477401;
3805043508092.000000;12.692452;13.887917;
3805105737340.000000;19.623963;14.749155;
3805168103548.000000;26.676749;15.489077;
3805230190972.000000;26.210909;15.315928;
3805291324540.000000;26.323483;16.251341;
3805352568188.000000;15.897680;15.630419;
3805415218300.000000;6.932667;14.893877;
3805477772924.000000;11.177541;15.042830;
3805539652988.000000;11.712641;15.107210;
3805602388604.000000;12.123712;15.013701;
3805665585020.000000;16.833201;14.810245;
3805726564220.000000;12.079765;14.721922;
3805789255036.000000;15.657396;14.896838;
3805852136316.000000;24.321170;14.821667;
3805914623612.000000;16.487753;13.970026;
3805976332412.000000;8.745065;15.316048;
3806038638204.000000;8.462483;16.047954;
3806100640892.000000;16.634384;15.123952;
3806161622140.000000;15.450543;15.438382;
3806223213436.000000;7.531680;15.106617;
3806285453692.000000;9.490357;14.763944;
3806347608700.000000;8.863567;13.509228;
3806410358652.000000;7.497116;14.990814;
3806472448636.000000;9.404685;16.417864;
3806536507516.000000;16.882207;14.567489;
3806598581884.000000;20.810854;13.961895;
3806662026108.000000;15.162119;16.082853;
3806724626300.000000;9.386320;16.582370;
3806787797372.000000;20.377250;15.078035;
3806849988732.000000;22.855734;14.474931;
3806912937596.000000;11.340285;15.073786;
3806974919036.000000;10.963878;15.848886;
3807038308220.000000;17.937158;14.766621;
3807100749180.000000;20.981507;13.628677;
3807163761532.000000;16.364098;14.874699;
3807226344572.000000;11.459584;15.713414;
3807288416636.000000;17.057929;14.530182;
3807351822972.000000;23.950264;13.570422;
3807415348604.000000;22.050288;14.808730;
3807478348412.000000;26.957499;15.760153;
3807541347452.000000;24.975663;14.447741;
3807604258428.000000;13.253925;13.646496;
3807665642108.000000;10.833048;10.086645;
3807728356988.000000;7.231443;10.086645;
3807789956988.000000;12.724877;3.585165;
3807853037180.000000;19.823624;10.994507;
3807915436156.000000;13.441137;22.308720;
3807978326396.000000;9.889839;22.785477;
3808040839036.000000;9.200903;21.247801;
3808102081404.000000;9.280629;20.185420;
3808163688572.000000;11.321372;17.328137;
3808224764796.000000;11.552939;15.614186;
3808287206524.000000;10.503898;16.734159;
3808348957052.000000;13.940496;16.152569;
3808411132796.000000;17.802100;14.946571;
3808473539452.000000;14.977047;13.919117;
3808535752828.000000;9.110384;14.916199;
3808597656188.000000;9.311276;15.717582;
3808660692604.000000;13.866439;14.924923;
3808724137852.000000;12.306148;14.252245;
3808786763644.000000;13.055847;15.359966;
3808848665980.000000;17.620364;15.889190;
3808912590716.000000;18.932496;14.670213;
3808974146172.000000;14.667135;13.960771;
3809036440956.000000;10.386420;14.925030;
3809099132284.000000;14.551565;15.646625;
3809160744316.000000;17.093027;14.362403;
3809223618940.000000;13.092515;14.996301;
3809287347580.000000;17.512894;15.308098;
3809349257852.000000;18.748298;14.593593;
3809410583164.000000;18.628987;14.247506;
3809472495484.000000;21.119346;15.302191;
3809535424892.000000;23.213221;15.686560;
3809598449788.000000;19.882580;14.537040;
3809660605308.000000;11.495610;13.784922;
3809724351868.000000;13.912663;14.735703;
3809786273916.000000;14.387499;15.680355;
3809849094268.000000;16.959253;14.864423;
3809911251324.000000;20.006407;13.854319;
3809972925308.000000;15.463749;14.769949;
3810035563900.000000;11.606332;15.373071;
3810099168892.000000;19.784563;13.970223;
3810161717116.000000;22.612865;14.500284;
3810223293052.000000;21.104378;15.986699;
3810285396348.000000;23.416145;15.644229;
3810348933500.000000;18.963439;14.671603;
3810409686908.000000;11.106038;14.537775;
3810472829820.000000;13.421044;14.701654;
3810535743100.000000;22.552013;14.748980;
3810598381692.000000;21.201631;14.219989;
3810661559676.000000;11.925696;15.003401;
3810724204924.000000;11.588116;15.281456;
3810786969980.000000;11.931339;14.483699;
3810850200188.000000;9.172776;14.430422;
3810910704508.000000;12.762447;15.204071;
3810972305788.000000;18.964260;15.596649;
3811035308668.000000;15.096197;14.922828;
3811098374012.000000;9.055401;13.740330;
3811161566588.000000;9.225502;14.953904;
3811224399996.000000;10.288110;16.101502;
3811286876284.000000;19.272048;14.922249;
3811349874300.000000;17.027165;14.007359;
3811411825020.000000;7.609320;15.144949;
3811473689468.000000;8.752609;15.828533;
